Region,Catchment,Transect,Transectcode,UTM_X,UTM_Y,Land-useclass,Forest type,Productiontype,LU_FT_Code,Bird_LU_FT_Code,ReasonsforGeneralexceptions,Generalexceptions,Catchmentexceptions,no_insectsample,no_birdsample,LU_change,Buffersize(pixels),reg_age,reg_fire,reg_fire_age,NumberLogC,NumberBurnC,deg_full,def_age,total_arable,EDGE2_DIST_MEAN,ed1_1km,foresttype1_1km,UPF_foresttype1_1km,MF_FCCP_500mbuffer,CANOPY,DUFF,SPECIES,AGB_Trees10,AGB_DeadTREES10,AGB_CWD,AGB_FWD,AGB_LeafLitter,UND_DEN,WOOD_DEN,DAMAGED,pH_ALL,SILT_ALL,CLAY_ALL,C_0_30,C_N,PC1soilnutALL,PC2soilnutALL,PC1soilnutFOR,PC2soilnutFOR,PC1soilnutPF,PC2soilnutPF,PC1soilnutOPEN,PC2soilnutOPEN,ELEV_MEAN,SLOPE_MEAN
STM,199,8,199_8,745745,9679316,Pasture,,,PA,PA,,,,,,,77,NA,NA,NA,NA,NA,NA,>20,0,108.6,34.14,28.94,18.38,0.19,100,0,1,0,0,2.98,1.87,6.12,40,0,0,4.73,208.2,290.67,32.76,11.52,0,1.21,NA,NA,NA,NA,-0.99,0.48,60.5,2.92
STM,199,9,199_9,746573,9680843,Secondary_forest,Old,,SFold,SFold,,,,,,,78,>20,0,0,NA,NA,NA,>20,NA,890.4,25.82,37.45,19.81,0.17,4.67,4.11,92,115.38,0.23,6.58,2.02,11.37,3640,0.6,41,3.95,115.53,482.67,42.23,11.09,1.19,0.43,-0.98,1.04,NA,NA,NA,NA,62.1,3.6
STM,236,1,236_1,753147.78,9675152.49,Mechanisd_agriculture,,,MA,MA,,,,,,,78,NA,NA,NA,NA,NA,NA,3.68,1,78.5,18.27,36.84,94.47,-0.24,100,0,0,0,0,0,0,6.75,0,0,0,5.21,198.93,754.67,65.57,12.99,-4.57,-0.23,NA,NA,NA,NA,2.43,-0.74,132.8,3.27
STM,236,2,236_2,753605,9673967,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,78,NA,NA,NA,1,1,0,NA,NA,232.9,6.74,60.37,98.69,-0.06,5.23,7.8,86,311.32,2.09,83.42,2.38,8.16,2180,0.74,6,3.91,139.67,689.33,50.35,11.14,0.97,-1.09,0.87,0.53,0.73,0.34,NA,NA,115.6,3.89
STM,236,3,236_3,751303,9674273,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,77,NA,NA,NA,1,1,0,NA,NA,68.7,21.36,54.45,81.34,0.17,6.86,17.81,110,532.52,2.42,15.97,2.47,8.33,2380,0.6,19,4.43,152.4,672,57.4,11.7,0.16,-1.08,1.26,-0.6,1.43,-0.61,NA,NA,72.6,5.26
STM,236,4,236_4,751988,9673350,Secondary_forest,Intermediate,,SFinter,SFinter,,,,,,,79,6,0,0,NA,NA,NA,6,NA,390.4,17.05,34.33,98.04,-0.44,4.72,0.99,51,40.9,0.19,105.02,2.36,10.67,5580,0.34,15,4.17,184.67,742.67,62.27,12.32,0.78,-0.35,0.13,0.07,NA,NA,NA,NA,105.6,3.82
STM,236,5,236_5,751787,9671264,Primary_forest,Logged,,PFlog,PFlog,,,,,,,82,NA,NA,NA,1,0,1.27,NA,NA,95.2,22.74,56.84,96.13,0.13,6.91,1.25,117,230.59,0.49,13.37,1.09,9.05,2880,0.7,35,3.92,124.27,477.33,47.73,11.51,1.24,-0.47,-0.14,0.62,-0.42,-0.04,NA,NA,80.2,4.41
STM,236,6,236_6,748788,9669959,Primary_forest,Logged,,PFlog,PFlog,,,,,,,80,NA,NA,NA,1,0,8.75,NA,NA,317.1,13.15,83.99,96.93,0.01,5.73,1.25,98,298.91,2.06,75.45,3.83,8.66,2520,0.67,18,4.21,140.87,774.67,52.57,11.94,0.55,-1.19,1.18,0.05,1.08,-0.19,NA,NA,127.5,4.57
STM,236,7,236_7,753908,9672539,Primary_forest,Logged,,PFlog,PFlog,,,,,,,79,NA,NA,NA,1,0,0,NA,NA,444.7,5.35,96.16,94.97,0.01,6.59,3.46,96,236.26,4.34,68.19,1.7,5.46,2600,0.69,19,4.01,86.47,402.67,52,12.36,0.92,-0.29,0.1,0.7,-0.25,0.66,NA,NA,78.6,5.83
STM,236,8,236_8,748174,9668648,Pasture,,,PA,PA,,,,,,,75,NA,NA,NA,NA,NA,NA,8.51,0,131,12.21,82.31,99.09,-0.14,100,0,0,0,0,0,0,0,0,0,0,4.52,198.2,740,67.89,13.15,-3.45,-1.83,NA,NA,NA,NA,1.48,-1.69,125.4,10.85
