,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,job,Done
198,Chaeturaspinicaudus,71,Birds,0.8 +/- 0.03,0.6 +/- 0.05,68.18 +/- 9.77,87.99 +/- 12.05,0.23 +/- 0.25,3,Excluded
199,Chamaecristaapoucouita,16,Trees,1 +/- 0.03,0.9 +/- 0.05,100 +/- 0,92.87 +/- 5.63,0.18 +/- 0.1,3,TRUE
200,Chamaecristabahiae,6,Trees,1 +/- 0.05,1 +/- 0.06,100 +/- 0,97.03 +/- 6.52,0.31 +/- 0.11,3,FALSE
201,Chamaecristascleroxylon,41,Trees,0.9 +/- 0.04,0.9 +/- 0.08,93.75 +/- 9.36,91.33 +/- 7.47,0.17 +/- 0.13,3,TRUE
202,Chamaecristaxinguensis,40,Trees,0.9 +/- 0.04,0.8 +/- 0.05,90 +/- 7.22,90.6 +/- 5.67,0.19 +/- 0.11,3,TRUE
203,Chaunochitonkappleri,34,Trees,1 +/- 0.02,0.8 +/- 0.06,90.95 +/- 7,91.74 +/- 8.07,0.19 +/- 0.2,3,TRUE
204,Cheilocliniumcognatum,18,Trees,0.9 +/- 0.04,0.8 +/- 0.09,97.92 +/- 7.06,83.86 +/- 9.98,0.17 +/- 0.21,3,TRUE
205,Chelidopteratenebrosa,4,Birds,NA,NA,NA,NA,NA,3,FALSE
206,Chimarrhisturbinata,60,Trees,0.9 +/- 0.03,0.8 +/- 0.06,89.66 +/- 7.92,89.54 +/- 7.57,0.18 +/- 0.14,3,TRUE
207,Chiroxiphiapareola,41,Birds,0.9 +/- 0.04,0.8 +/- 0.07,97.7 +/- 5.71,86.1 +/- 5.8,0.14 +/- 0.08,3,TRUE
208,Chomeliatenuiflora,2,Trees,NA,NA,NA,NA,NA,3,FALSE
209,Chrysophyllumcuneifolium,9,Trees,0.9 +/- 0.07,0.9 +/- 0.1,100 +/- 0,92.36 +/- 10.21,0.26 +/- 0.2,3,TRUE
210,Chrysophyllumlucentifolium,71,Trees,1 +/- 0.02,0.9 +/- 0.06,91.94 +/- 6.58,95.86 +/- 3.92,0.17 +/- 0.09,3,TRUE
211,Chrysophyllumpomiferum,12,Trees,1 +/- 0.01,1 +/- 0.02,100 +/- 0,99.36 +/- 1.8,0.38 +/- 0.11,3,TRUE
212,Chrysophyllumprieurii,12,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.29 +/- 6.44,0.37 +/- 0.19,3,TRUE
213,Chrysophyllumsanguinolentum,11,Trees,1 +/- 0.04,1 +/- 0.08,100 +/- 0,95.26 +/- 8.58,0.36 +/- 0.21,3,TRUE
214,Chrysophyllumsp,2,Trees,NA,NA,NA,NA,NA,3,FALSE
215,Chrysophyllumsparsiflorum,14,Trees,0.9 +/- 0.06,0.9 +/- 0.11,100 +/- 0,85.84 +/- 11.03,0.3 +/- 0.24,3,TRUE
216,Citharexylumsp,1,Trees,NA,NA,NA,NA,NA,3,FALSE
217,Clarisiailicifolia,78,Trees,0.9 +/- 0.04,0.8 +/- 0.06,88.19 +/- 8.9,87.81 +/- 7.08,0.11 +/- 0.05,3,TRUE
218,Clarisiaracemosa,20,Trees,0.9 +/- 0.04,0.8 +/- 0.1,90.22 +/- 12.48,90.91 +/- 9.51,0.18 +/- 0.1,3,TRUE
219,Clavijalancifolia,8,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.93 +/- 6.88,0.33 +/- 0.18,3,TRUE
220,Clitoriajavitensis,3,Trees,NA,NA,NA,NA,NA,3,FALSE
221,Coccolobaascendens,31,Trees,0.9 +/- 0.04,0.7 +/- 0.07,78.21 +/- 10.29,91.92 +/- 7.65,0.22 +/- 0.16,3,TRUE
222,Coccolobaexcelsa,6,Trees,1 +/- 0.07,1 +/- 0.08,100 +/- 0,95.31 +/- 8.23,0.37 +/- 0.14,3,FALSE
223,Coccolobalatifolia,6,Trees,0.9 +/- 0.07,0.9 +/- 0.08,100 +/- 0,91.87 +/- 8.23,0.27 +/- 0.14,3,TRUE
224,Coccolobamarginata,9,Trees,0.9 +/- 0.07,0.8 +/- 0.11,100 +/- 0,84.16 +/- 11.19,0.22 +/- 0.18,3,TRUE
225,Coccolobamollis,10,Trees,0.9 +/- 0.06,0.9 +/- 0.08,100 +/- 0,91.95 +/- 7.71,0.14 +/- 0.05,3,TRUE
226,Coccolobasp,9,Trees,0.9 +/- 0.07,0.9 +/- 0.11,100 +/- 0,83.76 +/- 12.92,0.27 +/- 0.26,3,TRUE
227,Coerebaflaveola,115,Birds,0.9 +/- 0.03,0.6 +/- 0.05,75 +/- 9.51,88.93 +/- 6.38,0.14 +/- 0.06,3,Excluded
228,Coleostachysgenipifolia,5,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,97.76 +/- 5.31,0.32 +/- 0.08,3,FALSE
229,Combretumlaxum,35,Trees,1 +/- 0.04,0.9 +/- 0.09,91.77 +/- 8.77,95 +/- 6.89,0.29 +/- 0.25,3,TRUE
230,Compsoneuraulei,27,Trees,0.9 +/- 0.04,0.8 +/- 0.07,95.29 +/- 8.74,83.24 +/- 8.95,0.13 +/- 0.14,3,TRUE
231,Conceveibaguianensis,18,Trees,0.9 +/- 0.05,0.8 +/- 0.07,98.96 +/- 5.1,84.26 +/- 7.08,0.11 +/- 0.06,3,TRUE
232,Condylocarponamazonicum,5,Trees,1 +/- 0.05,0.9 +/- 0.08,100 +/- 0,94.55 +/- 7.91,0.27 +/- 0.09,3,TRUE
233,Connaruscoriaceus,1,Trees,NA,NA,NA,NA,NA,3,FALSE
234,Connaruserianthus,30,Trees,0.9 +/- 0.03,0.8 +/- 0.05,96.21 +/- 7.15,80.61 +/- 7.93,0.11 +/- 0.07,3,TRUE
235,Connarusperrottetii,17,Trees,1 +/- 0.04,0.9 +/- 0.1,100 +/- 0,89.93 +/- 10.33,0.16 +/- 0.09,3,TRUE
236,Connarusruber,2,Trees,NA,NA,NA,NA,NA,3,FALSE
237,Conopiastrivirgatus,9,Birds,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,94.73 +/- 9.45,0.26 +/- 0.13,3,TRUE
238,Conopophagaaurita,7,Birds,0.9 +/- 0.08,0.9 +/- 0.1,100 +/- 0,90.27 +/- 10.04,0.24 +/- 0.15,3,TRUE
239,Copaiferareticulata,22,Trees,0.9 +/- 0.05,0.8 +/- 0.1,92.86 +/- 11.5,88.56 +/- 10.78,0.2 +/- 0.19,3,TRUE
240,Cordiabicolor,70,Trees,0.9 +/- 0.02,0.8 +/- 0.05,91.37 +/- 6.31,89.37 +/- 6.02,0.13 +/- 0.05,3,TRUE
241,Cordiaexaltata,151,Trees,0.9 +/- 0.02,0.8 +/- 0.04,88.99 +/- 7.07,86.16 +/- 6.08,0.1 +/- 0.04,4,TRUE
242,Cordialomatoloba,15,Trees,0.9 +/- 0.05,0.9 +/- 0.08,100 +/- 0,88.03 +/- 8.41,0.15 +/- 0.1,4,TRUE
243,Cordianodosa,32,Trees,0.9 +/- 0.03,0.8 +/- 0.05,94.12 +/- 8.08,85.56 +/- 9.6,0.16 +/- 0.14,4,TRUE
244,Cordiascabrifolia,89,Trees,0.8 +/- 0.08,0.6 +/- 0.11,75.34 +/- 19.05,85.14 +/- 11.33,0.15 +/- 0.09,4,Excluded
245,Cordiasellowiana,18,Trees,0.9 +/- 0.05,0.8 +/- 0.06,93.75 +/- 11.06,84.8 +/- 10.22,0.26 +/- 0.17,4,TRUE
246,Corythopistorquatus,9,Birds,1 +/- 0.05,0.9 +/- 0.1,100 +/- 0,91.27 +/- 10.11,0.26 +/- 0.15,4,TRUE
247,Cotingacayana,5,Birds,1 +/- 0.06,0.9 +/- 0.07,100 +/- 0,90.86 +/- 17.72,0.32 +/- 0.24,4,TRUE
248,Couepiaguianensis,31,Trees,0.9 +/- 0.04,0.8 +/- 0.07,93.75 +/- 8.2,90.32 +/- 7.17,0.14 +/- 0.11,4,TRUE
249,Couepiasp,2,Trees,NA,NA,NA,NA,NA,4,FALSE
250,Coumaguianensis,2,Trees,NA,NA,NA,NA,NA,4,FALSE
251,Couratariguianensis,53,Trees,0.9 +/- 0.02,0.8 +/- 0.06,95.45 +/- 6.87,80.77 +/- 6.73,0.13 +/- 0.07,4,TRUE
252,Couratarioblongifolia,21,Trees,0.9 +/- 0.05,0.8 +/- 0.11,93.1 +/- 11.37,90.34 +/- 9.46,0.16 +/- 0.13,4,TRUE
253,Couratariparviflora,1,Trees,NA,NA,NA,NA,NA,4,FALSE
254,Courataristellata,92,Trees,1 +/- 0.03,0.8 +/- 0.06,89.85 +/- 7.43,92.5 +/- 3.31,0.15 +/- 0.07,4,TRUE
255,Courataritauari,1,Trees,NA,NA,NA,NA,NA,4,FALSE
256,Coussapoavillosa,1,Trees,NA,NA,NA,NA,NA,4,FALSE
257,Coussareaalbescens,10,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,97.88 +/- 5.09,0.36 +/- 0.12,4,TRUE
258,Coussareamicrococca,1,Trees,NA,NA,NA,NA,NA,4,FALSE
259,Coussareanodosa,1,Trees,NA,NA,NA,NA,NA,4,FALSE
260,Coussareapaniculata,21,Trees,1 +/- 0.05,0.9 +/- 0.08,97.92 +/- 7.01,93.69 +/- 6.37,0.22 +/- 0.13,4,TRUE
261,Coussareasp,1,Trees,NA,NA,NA,NA,NA,4,FALSE
262,Crepidospermumgoudotianum,14,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,93.88 +/- 8.85,0.21 +/- 0.15,4,TRUE
263,Crotoncajucara,2,Trees,NA,NA,NA,NA,NA,4,FALSE
264,Crotonmatourensis,35,Trees,0.9 +/- 0.04,0.8 +/- 0.07,95.54 +/- 6.84,85.24 +/- 9.59,0.14 +/- 0.07,4,TRUE
265,Crotonsp,1,Trees,NA,NA,NA,NA,NA,4,FALSE
266,Crudiaaequalis,2,Trees,NA,NA,NA,NA,NA,4,FALSE
267,Crudiaoblonga,8,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.25 +/- 4.75,0.3 +/- 0.11,4,FALSE
268,Crypturelluscinereus,15,Birds,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,87.73 +/- 9.53,0.19 +/- 0.15,4,TRUE
269,Crypturellussoui,66,Birds,0.9 +/- 0.04,0.7 +/- 0.05,84.62 +/- 4.87,90.2 +/- 3.56,0.17 +/- 0.09,4,TRUE
270,Crypturellusstrigulosus,20,Birds,1 +/- 0.04,0.9 +/- 0.1,96.3 +/- 9.05,93.25 +/- 7.51,0.21 +/- 0.15,4,TRUE
271,Crypturellusvariegatus,28,Birds,1 +/- 0.04,0.9 +/- 0.09,92.67 +/- 8.36,97.52 +/- 3.98,0.28 +/- 0.18,4,TRUE
272,Cupaniadiphylla,8,Trees,0.9 +/- 0.07,0.9 +/- 0.09,100 +/- 0,85.94 +/- 9.08,0.27 +/- 0.22,4,TRUE
273,Cupaniahirsuta,10,Trees,0.8 +/- 0.03,0.8 +/- 0.04,100 +/- 0,76.43 +/- 3.78,0.28 +/- 0.21,4,TRUE
274,Cupaniahispida,3,Trees,NA,NA,NA,NA,NA,4,FALSE
275,Cupaniarufescens,1,Trees,NA,NA,NA,NA,NA,4,FALSE
276,Cupaniascrobiculata,91,Trees,0.9 +/- 0.04,0.7 +/- 0.07,88.89 +/- 8.97,76.03 +/- 9.9,0.09 +/- 0.05,4,TRUE
277,Curareacandicans,6,Trees,1 +/- 0.06,0.9 +/- 0.08,100 +/- 0,93.88 +/- 8.24,0.31 +/- 0.12,4,TRUE
278,Curareatoxicofera,6,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,96.05 +/- 7.18,0.28 +/- 0.14,4,FALSE
279,Cyanoloxiacyanoides,36,Birds,0.9 +/- 0.03,0.8 +/- 0.06,95.24 +/- 9.1,82.35 +/- 9.29,0.2 +/- 0.17,4,TRUE
280,Cybianthuspenduliflorus,1,Trees,NA,NA,NA,NA,NA,4,FALSE
281,Cyclarhisgujanensis,64,Birds,0.8 +/- 0.06,0.5 +/- 0.06,67.03 +/- 14.6,83.01 +/- 13.96,0.14 +/- 0.06,4,Excluded
282,Cymbilaimuslineatus,52,Birds,1 +/- 0.04,0.9 +/- 0.07,92.5 +/- 7.29,97.71 +/- 2.35,0.22 +/- 0.11,4,TRUE
283,Cynometramarginata,9,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,94.87 +/- 7.69,0.27 +/- 0.14,4,FALSE
284,Cyphorhinaarada,1,Birds,NA,NA,NA,NA,NA,4,FALSE
285,Dacniscayana,16,Birds,1 +/- 0.05,0.9 +/- 0.11,100 +/- 0,88.98 +/- 11.57,0.32 +/- 0.3,4,TRUE
286,Dacnislineata,2,Birds,NA,NA,NA,NA,NA,4,FALSE
287,Dalbergiasubcymosa,16,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,94.01 +/- 7.92,0.3 +/- 0.2,4,TRUE
288,Davillakunthii,51,Trees,0.9 +/- 0.03,0.8 +/- 0.05,92.35 +/- 8.31,82.7 +/- 9.74,0.13 +/- 0.11,4,TRUE
289,Davillarugosa,79,Trees,0.9 +/- 0.04,0.6 +/- 0.07,89.38 +/- 7.9,74.95 +/- 8.29,0.11 +/- 0.05,4,Excluded
290,Deconychuralongicauda,6,Birds,1 +/- 0.05,1 +/- 0.06,100 +/- 0,95.51 +/- 6,0.31 +/- 0.13,4,FALSE
291,Degueliautilis,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.03 +/- 5.6,0.26 +/- 0.08,4,FALSE
292,Dendrexetastesrufigula,15,Birds,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,90.2 +/- 7.8,0.18 +/- 0.11,4,TRUE
293,Dendrobangiaboliviana,12,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,97.62 +/- 4.02,0.33 +/- 0.14,4,TRUE
294,Dendrocinclafuliginosa,100,Birds,0.9 +/- 0.03,0.7 +/- 0.04,81.67 +/- 5.88,93.2 +/- 5.82,0.15 +/- 0.12,4,TRUE
295,Dendrocinclamerula,15,Birds,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.09 +/- 6.88,0.23 +/- 0.15,4,TRUE
296,Dendrocolaptescerthia,64,Birds,1 +/- 0.03,0.9 +/- 0.06,91.56 +/- 7.46,93.54 +/- 4.96,0.16 +/- 0.11,4,TRUE
297,Dendrocolaptespicumnus,40,Birds,1 +/- 0.03,0.9 +/- 0.06,96.32 +/- 6.55,95.52 +/- 4.64,0.16 +/- 0.11,4,TRUE
298,Deroptyusaccipitrinus,21,Birds,0.9 +/- 0.06,0.8 +/- 0.08,87 +/- 12.75,91.22 +/- 9.5,0.19 +/- 0.16,4,TRUE
299,Derrisfloribunda,45,Trees,1 +/- 0.04,0.9 +/- 0.11,93.1 +/- 9.11,96.16 +/- 6.64,0.25 +/- 0.15,4,TRUE
300,Derrissp,5,Trees,1 +/- 0.05,1 +/- 0.07,100 +/- 0,95.28 +/- 7.36,0.35 +/- 0.14,4,FALSE
301,Derrisspruceana,18,Trees,0.9 +/- 0.04,0.9 +/- 0.1,95.59 +/- 9.67,91.42 +/- 7.63,0.2 +/- 0.12,4,TRUE
302,Dialiumguianense,63,Trees,0.9 +/- 0.03,0.7 +/- 0.05,85.15 +/- 9.63,87.74 +/- 6.97,0.12 +/- 0.08,4,TRUE
303,Dicellaconwayi,6,Trees,1 +/- 0.06,0.9 +/- 0.08,100 +/- 0,94.52 +/- 7.82,0.35 +/- 0.17,4,TRUE
304,Dichapetalumrugosum,4,Trees,NA,NA,NA,NA,NA,4,FALSE
305,Dichapetalumsp,1,Trees,NA,NA,NA,NA,NA,4,FALSE
306,Dicranostylesampla,9,Trees,1 +/- 0.04,0.9 +/- 0.1,100 +/- 0,93.79 +/- 9.6,0.23 +/- 0.11,4,TRUE
307,Dicranostylesintegra,1,Trees,NA,NA,NA,NA,NA,4,FALSE
308,Dicranostyleslaxa,11,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,87.31 +/- 9.24,0.24 +/- 0.18,4,TRUE
309,Dicranostylessp,1,Trees,NA,NA,NA,NA,NA,4,FALSE
310,Diniziaexcelsa,6,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.69 +/- 6.85,0.35 +/- 0.15,4,FALSE
311,Diocleabicolor,5,Trees,1 +/- 0.06,0.9 +/- 0.07,100 +/- 0,94.47 +/- 7.24,0.37 +/- 0.19,4,TRUE
312,Diocleacoriacea,13,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,89.33 +/- 8.64,0.34 +/- 0.18,4,TRUE
313,Diocleamacrocarpa,9,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.88 +/- 6.99,0.45 +/- 0.2,4,FALSE
314,Diocleamalacocarpa,6,Trees,0.9 +/- 0.09,0.9 +/- 0.09,100 +/- 0,92.75 +/- 9.4,0.37 +/- 0.31,4,TRUE
315,Diospyroscapreifolia,39,Trees,0.9 +/- 0.03,0.8 +/- 0.07,90.09 +/- 9.08,89.23 +/- 8.08,0.18 +/- 0.17,4,TRUE
316,Diospyroscarbonaria,30,Trees,1 +/- 0.03,0.8 +/- 0.08,94.09 +/- 8.11,90.79 +/- 7.91,0.21 +/- 0.13,4,TRUE
317,Diospyrosguianensis,1,Trees,NA,NA,NA,NA,NA,4,FALSE
318,Diospyrossericea,2,Trees,NA,NA,NA,NA,NA,4,FALSE
319,Diospyrosvestita,5,Trees,1 +/- 0.04,1 +/- 0.08,100 +/- 0,95.19 +/- 7.53,0.25 +/- 0.07,4,FALSE
320,Diplotropispurpurea,13,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,91.21 +/- 8.44,0.3 +/- 0.23,4,TRUE
321,Dipteryxodorata,32,Trees,0.9 +/- 0.04,0.8 +/- 0.08,94.44 +/- 8.05,86.55 +/- 8.81,0.14 +/- 0.08,5,TRUE
322,Dixiphiapipra,14,Birds,0.9 +/- 0.05,0.8 +/- 0.08,100 +/- 0,79.39 +/- 16.1,0.14 +/- 0.11,5,TRUE
323,Dodecastigmaintegrifolium,49,Trees,0.9 +/- 0.02,0.8 +/- 0.07,93.85 +/- 7.52,84.85 +/- 7.62,0.09 +/- 0.05,5,TRUE
324,Dolichandraquadrivalvis,1,Trees,NA,NA,NA,NA,NA,5,FALSE
325,Dolichandraunguis-cati,2,Trees,NA,NA,NA,NA,NA,5,FALSE
326,Doliocarpusamazonicus,2,Trees,NA,NA,NA,NA,NA,5,FALSE
327,Doliocarpusdentatus,36,Trees,0.9 +/- 0.03,0.8 +/- 0.06,96.24 +/- 6.46,83.75 +/- 6.84,0.15 +/- 0.12,5,TRUE
328,Doliocarpusgracilis,9,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,94.25 +/- 9.01,0.3 +/- 0.17,5,TRUE
329,Doliocarpusmajor,9,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.8 +/- 6.34,0.29 +/- 0.11,5,FALSE
330,Dryocopuslineatus,61,Birds,0.9 +/- 0.02,0.7 +/- 0.06,85.61 +/- 10.35,83.27 +/- 10.15,0.12 +/- 0.06,5,TRUE
331,Drypetesvariabilis,17,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,91.35 +/- 9.33,0.22 +/- 0.13,5,TRUE
332,Duckesiaverrucosa,3,Trees,NA,NA,NA,NA,NA,5,FALSE
333,Duguetiacalycina,30,Trees,1 +/- 0.02,0.8 +/- 0.07,92.75 +/- 8.45,89.73 +/- 11.1,0.21 +/- 0.19,5,TRUE
334,duguetiaechinophora,1,Trees,NA,NA,NA,NA,NA,5,FALSE
335,Duguetiaechinophora,48,Trees,1 +/- 0.03,0.9 +/- 0.07,91.14 +/- 7.18,98.08 +/- 4.02,0.27 +/- 0.19,5,TRUE
336,Duguetiaeximia,7,Trees,1 +/- 0.01,1 +/- 0.03,100 +/- 0,98.93 +/- 2.89,0.39 +/- 0.14,5,FALSE
337,Duguetiaflagellaris,60,Trees,0.9 +/- 0.04,0.8 +/- 0.07,86.46 +/- 8.79,97.19 +/- 4.09,0.26 +/- 0.19,5,TRUE
338,Duguetiapycnastera,25,Trees,0.9 +/- 0.04,0.8 +/- 0.08,93.16 +/- 9.62,91.21 +/- 9.08,0.22 +/- 0.19,5,TRUE
339,Duguetiasp1,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.5 +/- 6,0.32 +/- 0.07,5,FALSE
340,Duguetiastelechantha,2,Trees,NA,NA,NA,NA,NA,5,FALSE
341,Duguetiasurinamensis,30,Trees,1 +/- 0.04,0.9 +/- 0.09,92.59 +/- 8.4,95.2 +/- 4.11,0.23 +/- 0.14,5,TRUE
342,Dulaciaguianensis,2,Trees,NA,NA,NA,NA,NA,5,FALSE
343,Duroiaguianensis,3,Trees,NA,NA,NA,NA,NA,5,FALSE
344,Duroiamacrophylla,14,Trees,1 +/- 0.02,0.9 +/- 0.08,100 +/- 0,92.39 +/- 7.8,0.21 +/- 0.17,5,TRUE
345,Dussiadiscolor,1,Trees,NA,NA,NA,NA,NA,5,FALSE
346,Dysithamnusmentalis,34,Birds,0.9 +/- 0.05,0.7 +/- 0.09,92.14 +/- 11.79,77.5 +/- 13.83,0.12 +/- 0.17,5,Excluded
347,Ecclinusaguianensis,46,Trees,1 +/- 0.03,0.8 +/- 0.09,90.2 +/- 8.55,94.09 +/- 7.38,0.25 +/- 0.22,5,TRUE
348,Ecclinusaramiflora,31,Trees,1 +/- 0.03,0.9 +/- 0.09,92.71 +/- 8.54,92.78 +/- 7.89,0.22 +/- 0.12,5,TRUE
349,Elachypterafloribunda,5,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,96.3 +/- 6.53,0.31 +/- 0.09,5,FALSE
350,Elaeniaflavogaster,117,Birds,0.8 +/- 0.02,0.5 +/- 0.03,86.19 +/- 7.08,68.28 +/- 7.89,0.18 +/- 0.12,5,Excluded
351,Elizabethaparaensis,1,Trees,NA,NA,NA,NA,NA,5,FALSE
352,Endlicheriamultiflora,3,Trees,NA,NA,NA,NA,NA,5,FALSE
353,Endopleurauchi,14,Trees,1 +/- 0.03,0.9 +/- 0.06,100 +/- 0,94.51 +/- 5.92,0.19 +/- 0.09,5,TRUE
354,Enterolobiummaximum,6,Trees,1 +/- 0.06,0.9 +/- 0.09,100 +/- 0,93.6 +/- 8.5,0.29 +/- 0.15,5,TRUE
355,Enterolobiumschomburgkii,31,Trees,0.9 +/- 0.05,0.8 +/- 0.09,96.87 +/- 6.72,82.58 +/- 10.07,0.11 +/- 0.06,5,TRUE
356,Ephedranthusparviflorus,2,Trees,NA,NA,NA,NA,NA,5,FALSE
357,Ephedranthuspisocarpus,3,Trees,NA,NA,NA,NA,NA,5,FALSE
358,Epinecrophyllaleucophthalma,19,Birds,1 +/- 0.04,0.9 +/- 0.09,96.53 +/- 8.77,95.1 +/- 6.17,0.25 +/- 0.16,5,TRUE
359,Eriothecagracilipes,1,Trees,NA,NA,NA,NA,NA,5,FALSE
360,Eriothecalongipedicellata,60,Trees,0.9 +/- 0.02,0.8 +/- 0.03,92.71 +/- 5.99,82.2 +/- 6.9,0.15 +/- 0.1,5,TRUE
361,Erismauncinatum,10,Trees,1 +/- 0.05,0.9 +/- 0.1,100 +/- 0,92.5 +/- 9.67,0.25 +/- 0.12,5,TRUE
362,Erythrochitonsp,1,Trees,NA,NA,NA,NA,NA,5,FALSE
363,Erythroxylummacrophyllum,16,Trees,0.9 +/- 0.04,0.9 +/- 0.08,100 +/- 0,85.6 +/- 18.25,0.19 +/- 0.17,5,TRUE
364,Eschweileraamazonica,122,Trees,0.9 +/- 0.02,0.7 +/- 0.03,86.18 +/- 7.09,88.36 +/- 5.88,0.14 +/- 0.14,5,TRUE
365,Eschweileraapiculata,14,Trees,1 +/- 0.03,0.9 +/- 0.11,100 +/- 0,91.07 +/- 11.26,0.25 +/- 0.19,5,TRUE
366,Eschweileraatropetiolata,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.07 +/- 6.22,0.29 +/- 0.05,5,FALSE
367,Eschweilerabracteosa,16,Trees,1 +/- 0.02,1 +/- 0.06,100 +/- 0,97.28 +/- 6.48,0.37 +/- 0.16,5,TRUE
368,Eschweileracollina,29,Trees,0.9 +/- 0.04,0.8 +/- 0.06,96.43 +/- 7.1,84.02 +/- 10.77,0.19 +/- 0.21,5,TRUE
369,Eschweileracoriacea,154,Trees,0.9 +/- 0.02,0.7 +/- 0.04,89.25 +/- 6.29,85.2 +/- 5.89,0.09 +/- 0.05,5,TRUE
370,Eschweileragrandiflora,104,Trees,1 +/- 0.02,0.8 +/- 0.06,89.39 +/- 8.3,90.55 +/- 7.17,0.14 +/- 0.15,5,TRUE
371,Eschweileramicrantha,7,Trees,0.9 +/- 0.09,0.9 +/- 0.09,100 +/- 0,88.14 +/- 9.06,0.21 +/- 0.13,5,TRUE
372,Eschweileraovata,8,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,97.51 +/- 4.3,0.28 +/- 0.1,5,FALSE
373,Eschweileraparviflora,33,Trees,0.9 +/- 0.03,0.8 +/- 0.07,94.29 +/- 9.99,83.33 +/- 10.08,0.17 +/- 0.08,5,TRUE
374,Eschweilerapedicellata,94,Trees,0.9 +/- 0.05,0.7 +/- 0.08,82.13 +/- 11.45,91.56 +/- 6.46,0.15 +/- 0.09,5,TRUE
375,Eschweilerapiresii,2,Trees,NA,NA,NA,NA,NA,5,FALSE
376,Eschweilerasp,3,Trees,NA,NA,NA,NA,NA,5,FALSE
377,Eschweilerasp1,1,Trees,NA,NA,NA,NA,NA,5,FALSE
378,Esenbeckiapilocarpoides,3,Trees,NA,NA,NA,NA,NA,5,FALSE
379,Eugeniabelemitana,41,Trees,0.9 +/- 0.02,0.7 +/- 0.03,92.05 +/- 8.43,81.63 +/- 8.41,0.18 +/- 0.11,5,TRUE
380,Eugeniabiflora,4,Trees,NA,NA,NA,NA,NA,5,FALSE
381,Eugeniacupulata,28,Trees,0.9 +/- 0.04,0.8 +/- 0.08,91.18 +/- 8.58,89.51 +/- 8.8,0.15 +/- 0.09,5,TRUE
382,Eugeniaflavescens,21,Trees,0.9 +/- 0.07,0.8 +/- 0.11,90.62 +/- 12.5,91.37 +/- 8.46,0.25 +/- 0.22,5,TRUE
383,Eugeniaomissa,33,Trees,0.9 +/- 0.05,0.8 +/- 0.09,89.29 +/- 10.53,94.4 +/- 8.01,0.24 +/- 0.17,5,TRUE
384,Eugeniapatens,5,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,96.17 +/- 7.09,0.27 +/- 0.08,5,FALSE
385,Eugeniapatrisii,72,Trees,0.9 +/- 0.05,0.8 +/- 0.08,90.14 +/- 8.59,92.69 +/- 4.24,0.13 +/- 0.07,5,TRUE
386,Eugeniapolystachya,34,Trees,1 +/- 0.04,0.9 +/- 0.09,93.33 +/- 7.25,93.53 +/- 7.6,0.26 +/- 0.21,5,TRUE
387,Eugeniapseudopsidium,2,Trees,NA,NA,NA,NA,NA,5,FALSE
388,Eugeniaramiflora,14,Trees,0.9 +/- 0.05,0.8 +/- 0.11,93.75 +/- 13.22,85.38 +/- 10.97,0.14 +/- 0.16,5,TRUE
389,Eugeniasp,5,Trees,0.9 +/- 0.07,0.9 +/- 0.08,100 +/- 0,92.6 +/- 8.03,0.22 +/- 0.13,5,TRUE
390,Eugeniastictopetala,4,Trees,NA,NA,NA,NA,NA,5,FALSE
391,Eugeniastipitata,2,Trees,NA,NA,NA,NA,NA,5,FALSE
392,Eugeniaumbelliflora,10,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,93.59 +/- 8.07,0.24 +/- 0.14,5,TRUE
