"Region","Catchment","Transect","Transectcode","UTM_X","UTM_Y","LU_FT_Code","AGB_Trees10","carbon_stock","non_zero","Longitude","Latitude","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","propertysize","SFAgepx","SFls","TSDls","UPFpx"
"PGM","274",7,"274_7",236081.22,9640936.77,"PFlogbur","225.96",112.98,1,-47.3748761080411,-3.24571983442183,26997.373046875,1013.20892333984,297.703430175781,0,304.514038085938,0.0857142880558968,0.333333343267441,176.470825195312,133.646896362305,201.893798828125,0.770612239837646,1215.10791015625,0,0.0351020395755768,210.419586181641,1
"PGM","274",8,"274_8",233660.85,9645054.93,"PFlogbur","93.51",46.755,1,-47.3965558088803,-3.20844393275984,23285.8828125,2499.1728515625,198.130661010742,1,828.80078125,0.000816326530184597,0,180,133.957244873047,201.18717956543,1,4618.53369140625,0,0.0955102071166039,12,0
"PGM","274",9,"274_9",237193.32,9643755.39,"MA","0",0,0,-47.3648155760071,-3.22026512789096,24123.26171875,898.588562011719,0.971079170703888,0,0,0,0,170.444595336914,133.726486206055,200.813369750977,0,1478.69946289062,0,0,0,0
"PGM","315",1,"315_1",220376.46,9632366.61,"PFlogbur","113.21",56.605,1,-47.5163004174162,-3.32283571982462,39789.15234375,422.497955322266,783.576354980469,1,263.23486328125,0.149387761950493,1,110.0380859375,130.381713867188,197.009811401367,0.670204102993011,1279.27868652344,0,0.0522448979318142,113.743675231934,0
"PGM","315",11,"315_11",218736.1,9632976.46,"PFlogbur","16.13",8.065,1,-47.5310381200214,-3.31728594445584,40047.71484375,2054.02490234375,1988.837890625,0.555555582046509,1.73834323883057,0.0220408160239458,0,180.218444824219,130.668731689453,196.261703491211,0.489795923233032,1067.412109375,1.44444441795349,0.238367348909378,4.7444896697998,0
"PGM","315",2,"315_2",219380.85,9629373.22,"SFinter","50.97",25.485,1,-47.5253230449001,-3.34986749963188,42921.3046875,2330.216796875,270.036102294922,0.444444447755814,12.1684112548828,0,0,175.838653564453,129.379592895508,195.591369628906,0.620408177375793,2283.87622070312,5.11111116409302,0.462040811777115,17.277551651001,0
"PGM","315",3,"315_3",218455.91,9634932.64,"PFlogbur","201.66",100.83,1,-47.5335129136189,-3.29959929635205,38490.08203125,1798.8115234375,861.563842773438,0,92.5302429199219,0.124897956848145,0,120,131.335998535156,196.671447753906,0.677551031112671,1067.412109375,0,0.22122448682785,143.540405273438,1
"PGM","315",4,"315_4",219896.64,9633869.86,"PFlogbur","218.33",109.165,1,-47.5205810284008,-3.30923799277124,38697.47265625,985.837341308594,891.6650390625,0,26.0751457214355,0.0987755134701729,0,110.207191467285,130.941375732422,197.174560546875,0.618775486946106,2597.93530273438,9.55555534362793,0.115102037787437,102.29061126709,0.333333343267441
"PGM","315",5,"315_5",223820.78,9630040.94,"PFlogbur","9.12",4.56,1,-47.4853779195062,-3.34393495689546,40525.484375,3610.18432617188,177.158737182617,0,0,0,0,192.219375610352,129.195343017578,198.216567993164,0.2612244784832,2283.87622070312,0,0.129795923829079,1.40244901180267,0
"PGM","315",6,"315_6",221955.71,9635278.81,"MA","0",0,0,-47.5020320062448,-3.29655055642589,36492.83984375,1312.97961425781,1031.41711425781,0,0,0,0,174.77653503418,131.442352294922,198.753173828125,0.217142850160599,2597.93530273438,0,0.0489795915782452,0.742040812969208,0
"PGM","315",7,"315_7",220146.88,9636124.67,"PA","0",0,0,-47.5182793236951,-3.28886427543459,36592.4765625,0,217.537719726562,0,0,0,0,85.2064590454102,131.758209228516,197.984848022461,0.102040819823742,2597.93530273438,0,0.102857142686844,7.40653038024902,0
"PGM","315",8,"315_8",223946.73,9631555.58,"PA","0",0,0,-47.4842107926296,-3.33024784591829,39068.21484375,2465.22607421875,152.407409667969,0,0,0,0,181.686462402344,129.838043212891,198.743835449219,0,2283.87622070312,0,0,0,0
"PGM","315",9,"315_9",223729.93,9633053.92,"MA","0",0,0,-47.4861266269736,-3.31670025552774,37771.57421875,1526.86889648438,270.656646728516,0,0,0,0,166.834869384766,130.487533569336,199.078842163086,0.11591836810112,1279.27868652344,0,0.0971428602933884,3.96734690666199,0
"PGM","342",1,"342_1",146505.4,9632415.6,"PFlog","200.97",100.485,1,-48.1804386272693,-3.32046878448726,98449.2578125,777.422424316406,1986.95056152344,0,542.871948242188,0.068571425974369,0,77.5541915893555,143.726928710938,192.100662231445,0.999183654785156,11585.8486328125,0,0.0106122447177768,297.092254638672,1
"PGM","342",10,"342_10",148061.87,9634925.33,"SFinter","113.3",56.65,1,-48.1663772552795,-3.29784327766982,96117.53125,0,505.188201904297,0,566.081420898438,0.0677551031112671,0,50,143.818496704102,191.915115356445,0.98612242937088,11585.8486328125,16,0.813877522945404,76.9975509643555,0
